,accuracy,num_trees
0,0.7727272727272727,1
1,0.8295454545454545,2
2,0.7854545454545454,3
3,0.8468181818181819,4
4,0.8481818181818183,5
5,0.8077272727272728,6
6,0.8540909090909091,7
7,0.875,8
8,0.8759090909090907,9
9,0.8454545454545453,10
10,0.8727272727272728,11
11,0.8518181818181818,12
12,0.840909090909091,13
13,0.8809090909090909,14
14,0.8568181818181817,15
15,0.8522727272727272,16
16,0.884090909090909,17
17,0.8959090909090911,18
18,0.8709090909090909,19
19,0.9072727272727275,20
20,0.8963636363636363,21
21,0.8559090909090908,22
22,0.8831818181818182,23
23,0.865,24
24,0.8877272727272727,25
25,0.859090909090909,26
26,0.8654545454545453,27
27,0.8740909090909093,28
28,0.8918181818181818,29
29,0.8563636363636362,30
30,0.89,31
31,0.8777272727272727,32
32,0.8931818181818182,33
33,0.8945454545454545,34
34,0.9,35
35,0.86,36
36,0.899090909090909,37
37,0.8854545454545455,38
38,0.8922727272727272,39
39,0.8886363636363637,40
40,0.9072727272727275,41
41,0.8872727272727273,42
42,0.890909090909091,43
43,0.9045454545454545,44
44,0.8977272727272727,45
45,0.8850000000000001,46
46,0.8786363636363637,47
47,0.8981818181818181,48
48,0.8777272727272727,49
49,0.8972727272727272,50
